﻿REF_DATE,CREDIT
2002-03,461546
2002-04,466119
2002-05,468773
2002-06,472058
2002-07,475050
2002-08,477914
2002-09,479678
2002-10,483531
2002-11,485551
2002-12,488385
2003-01,493164
2003-02,496456
2003-03,498893
2003-04,502554
2003-05,506285
2003-06,508698
2003-07,512403
2003-08,516406
2003-09,520742
2003-10,524064
2003-11,528410
2003-12,531418
2004-01,536722
2004-02,540664
2004-03,544039
2004-04,549398
2004-05,554345
2004-06,559678
2004-07,563469
2004-08,568676
2004-09,572103
2004-10,577517
2004-11,582861
2004-12,587837
2005-01,592531
2005-02,596122
2005-03,599523
2005-04,604469
2005-05,609278
2005-06,614245
2005-07,618536
2005-08,623911
2005-09,629070
2005-10,634750
2005-11,640426
2005-12,645990
2006-01,651918
2006-02,657200
2006-03,662933
2006-04,668846
2006-05,673484
2006-06,678276
2006-07,683456
2006-08,687782
2006-09,693901
2006-10,699239
2006-11,704436
2006-12,710699
2007-01,716860
2007-02,723654
2007-03,729625
2007-04,737499
2007-05,743363
2007-06,751308
2007-07,759318
2007-08,768229
2007-09,775866
2007-10,785429
2007-11,792302
2007-12,799933
2008-01,808682
2008-02,816849
2008-03,825199
2008-04,832830
2008-05,840363
2008-06,846090
2008-07,852162
2008-08,858790
2008-09,863682
2008-10,867157
2008-11,866657
2008-12,880035
2009-01,885771
2009-02,889735
2009-03,890856
2009-04,898767
2009-05,902515
2009-06,907674
2009-07,913329
2009-08,917446
2009-09,922824
2009-10,929628
2009-11,934248
2009-12,941048
2010-01,945440
2010-02,951281
2010-03,954372
2010-04,959992
2010-05,969154
2010-06,975702
2010-07,980718
2010-08,986137
2010-09,991744
2010-10,995826
2010-11,1001963
2010-12,1008057
2011-01,1015942
2011-02,1017590
2011-03,1023766
2011-04,1029053
2011-05,1035404
2011-06,1040883
2011-07,1046775
2011-08,1052687
2011-09,1057720
2011-10,1066797
2011-11,1067357
2011-12,1073422
2012-01,1080231
2012-02,1085723
2012-03,1092537
2012-04,1098745
2012-05,1103825
2012-06,1107979
2012-07,1111854
2012-08,1117302
2012-09,1122439
2012-10,1126780
2012-11,1129133
2012-12,1136161
2013-01,1140283
2013-02,1145585
2013-03,1150738
2013-04,1157150
2013-05,1161397
2013-06,1167160
2013-07,1170943
2013-08,1174435
2013-09,1181731
2013-10,1187432
2013-11,1192192
2013-12,1195585
2014-01,1200000
2014-02,1204997
2014-03,1210164
2014-04,1214607
2014-05,1220160
2014-06,1224943
2014-07,1229887
2014-08,1235206
2014-09,1240880
2014-10,1246095
2014-11,1251226
2014-12,1256228
2015-01,1262469
2015-02,1269154
2015-03,1274925
2015-04,1281293
2015-05,1287622
2015-06,1294424
2015-07,1302247
2015-08,1309834
2015-09,1316180
2015-10,1322959
2015-11,1329478
2015-12,1337482
2016-01,1344482
2016-02,1350685
2016-03,1355478
2016-04,1362176
2016-05,1369210
2016-06,1377047
2016-07,1384586
2016-08,1392443
2016-09,1401280
2016-10,1407872
2016-11,1414475
2016-12,1421162
2017-01,1426811
2017-02,1432254
2017-03,1439936
2017-04,1447993
2017-05,1455066
2017-06,1461844
2017-07,1469163
2017-08,1474247
2017-09,1479705
2017-10,1485378
2017-11,1490586
2017-12,1496159
2018-01,1503755
2018-02,1513640
2018-03,1522983
2018-04,1530361
2018-05,1534115
2018-06,1537441
2018-07,1540971
2018-08,1544596
2018-09,1548626
2018-10,1552125
2018-11,1555736
2018-12,1561044
2019-01,1566548
2019-02,1571126
2019-03,1576434
2019-04,1581512
2019-05,1587462
2019-06,1594049
2019-07,1600145
2019-08,1606881
2019-09,1613349
2019-10,1621345
2019-11,1626656
2019-12,1634098
2020-01,1640113
2020-02,1644740
2020-03,1652870
2020-04,1662719
2020-05,1671280
2020-06,1677019
2020-07,1682913
2020-08,1691288
2020-09,1705636
