﻿REF_DATE,HNUM
2022-01,3557
2022-02,4227
2022-03,5306
2022-04,7312
2022-05,7123
2022-06,7341
2022-07,6854
2022-08,7268
2022-09,6648
2022-10,5816
2022-11,5961
2022-12,4397
2023-01,3084
2023-02,3788
2023-03,3669
2023-04,4484
2023-05,5129
2023-06,5552
2023-07,5289
2023-08,5155
2023-09,5294
2023-10,5425
2023-11,5156
2023-12,4230
2024-01,3076
2024-02,3216
2024-03,4056
2024-04,4641
2024-05,5474
2024-06,5824
2024-07,5369
2024-08,5736
2024-09,5515
2024-10,5503
2024-11,6247
2024-12,4302
2025-01,3583
2025-02,3517
2025-03,3992
